PROVIDUS BANK
0215,CORPORATE BRANCH
,,,,

Customer Name,SANITIZED COMPANY LIMITED
Account Number,0215/********/001/0013/000
NUBAN Number,******2534
Account Type,CURR.A/C -LOCAL CORPORATE - NAIRA
Account Nickname,SANITIZED COMPANY LIMITED CURRENT NGN
Statement of Account For  The Period From Date 01/04/2026 To Date 03/06/2026

,Transaction Description,All,Transaction Type,All
,Number of Debit Transaction(s),388,Number of Credit Transaction(s),11
,Total Debit Amount,"48,574,497.94",Total Credit Amount,"47,425,207.50"
,"Period Opening Balance ","1,288,486.27","Period Closing Balance ","139,195.83"


Transaction Date,Actual Transaction Date,Transaction Details,Value Date,Debit Amount,Credit Amount,Current Balance,DR/CR,DOC-NUM
27/04/2026,27/04/2026,SANITIZED DEBIT TRANSACTION 156,27/04/2026,53.75,,"1,846,038.77",,DOC-0156
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 157,28/04/2026,"28,101.22",,"1,817,937.55",,DOC-0157
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 158,28/04/2026,"250,000.00",,"1,567,937.55",,DOC-0158
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 159,28/04/2026,50.00,,"1,567,887.55",,DOC-0159
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 160,28/04/2026,50.00,,"1,567,837.55",,DOC-0160
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 161,28/04/2026,3.75,,"1,567,833.80",,DOC-0161
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 162,28/04/2026,"400,000.00",,"1,167,833.80",,DOC-0162
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 163,28/04/2026,50.00,,"1,167,783.80",,DOC-0163
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 164,28/04/2026,50.00,,"1,167,733.80",,DOC-0164
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 165,28/04/2026,3.75,,"1,167,730.05",,DOC-0165
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 166,28/04/2026,"35,800.00",,"1,131,930.05",,DOC-0166
28/04/2026,28/04/2026,SANITIZED DEBIT TRANSACTION 167,28/04/2026,25.00,,"1,131,905.05",,DOC-0167
